specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
56,150.32393,-0.75028043,269,51910,253,0.1368843,3.071985E-005,19.20968,1.783952,0.03630829
57,150.97302,0.39564986,269,51910,479,0.3378441,6.828985E-005,13.06976,1.876215,0.04492044
58,153.55067,-0.8636618,270,51909,14,0.3566161,0.0001067343,6.319385,1.764227,0.0929092
59,153.45716,-0.26175997,270,51909,109,0.276361,6.66032E-005,10.5051,1.884587,0.06025548
60,151.9035,-1.0272912,270,51909,286,0.3762593,0.0001316049,5.629701,1.891255,0.09671062
61,151.64454,-1.2175433,270,51909,287,0.3778805,0.0001165652,7.155091,1.865451,0.07415275
62,151.87288,-0.82627884,270,51909,298,0.3755587,0.000083188,7.059346,1.938149,0.08356182
63,152.17265,0.08820964,270,51909,397,0.3167835,7.591624E-005,9.631399,2.003829,0.07322124
64,153.57877,0.3362504,270,51909,541,0.3573565,0.0001306267,5.179189,1.79279,0.1139961
65,155.21177,-0.79012887,271,51883,9,0.3951925,0.0001236535,5.910975,1.639054,0.07382776
66,154.97892,-1.1471006,271,51883,13,0.3638418,9.253709E-005,6.533632,2.084775,0.1071145
67,155.5362,-0.4215368,271,51883,21,0.3939903,7.908417E-005,8.153484,1.736579,0.05497129
68,155.34121,-0.59667906,271,51883,27,0.3933677,0.0001111999,5.87534,1.635656,0.07833348
69,154.89956,-0.95379832,271,51883,60,0.3666911,9.835339E-005,5.566277,2.062929,0.1110997
70,154.47619,-0.89236105,271,51883,86,0.383855,0.0001053985,7.124201,1.882797,0.07189637
71,154.68299,-0.7140191,271,51883,148,0.340275,0.0001337975,6.385499,1.786493,0.08041123
72,154.53072,-0.13674877,271,51883,164,0.3718251,9.205411E-005,6.016123,2.212464,0.121829
73,154.3533,-0.60091386,271,51883,231,0.3475723,0.0001020654,5.880225,1.777732,0.08779012
74,153.53355,-0.89492947,271,51883,286,0.3640237,0.000078697,8.535074,1.830485,0.05997886
75,153.58455,-0.4967909,271,51883,309,0.3558666,9.544521E-005,8.239378,1.838277,0.06812134
76,153.78003,-0.15699078,271,51883,314,0.349784,0.0001342354,5.390831,1.479353,0.05936503
77,154.00233,0.22533099,271,51883,389,0.3518493,9.925792E-005,5.892547,2.10991,0.1242757
78,154.20128,0.63774429,271,51883,450,0.4106003,0.0001146918,5.252786,2.06321,0.1049474
79,154.17926,0.58474392,271,51883,453,0.3493394,9.761641E-005,5.60353,1.940117,0.1045495
80,154.30352,0.88121751,271,51883,454,0.3771022,8.523808E-005,5.998909,1.876545,0.08572986
81,154.47592,0.11305361,271,51883,473,0.3992226,0.0001194203,6.290099,1.990042,0.08987232
82,154.61914,0.7591713,271,51883,522,0.3690907,0.0001979407,6.378261,1.864668,0.08889227
83,156.68282,-0.70083475,272,51941,2,0.3256121,9.738774E-005,7.271752,2.089275,0.1004514
84,156.89555,-0.77998156,272,51941,16,0.3264254,9.776289E-005,5.346717,2.198802,0.170968
85,156.65411,-0.70273848,272,51941,59,0.3264111,6.194107E-005,9.290481,2.077658,0.08314241
86,157.09999,-0.19422599,272,51941,61,0.3255222,7.389725E-005,6.930346,1.936801,0.09138999
87,156.34953,-0.81171134,272,51941,97,0.3863984,9.505085E-005,5.292771,1.69974,0.1034481
88,156.64904,-0.63424439,272,51941,101,0.3254115,8.139264E-005,7.091263,1.963341,0.1014596
89,156.6228,-0.64094553,272,51941,105,0.3282286,0.0001132185,5.837716,1.883487,0.1087209
90,156.63335,-0.48926341,272,51941,116,0.3259946,8.595837E-005,8.297823,1.935703,0.07593619
91,155.80925,-0.31461073,272,51941,221,0.392379,0.0001102726,5.340955,2.266175,0.1314762
92,155.10661,-0.40749868,272,51941,269,0.3684614,7.042832E-005,8.626399,2.088202,0.08102893
93,154.89712,-0.94491225,272,51941,285,0.3668049,0.0001371685,5.396781,1.761681,0.1218164
94,155.05093,-1.0137768,272,51941,287,0.3943022,6.87576E-005,7.65205,1.777178,0.0710298
95,154.92773,-0.84609175,272,51941,290,0.366891,8.097765E-005,8.816999,1.970198,0.07229315
96,155.02535,-0.21856067,272,51941,316,0.3997228,0.000122457,6.329374,1.927438,0.08608911
